epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,62.6782,2.05692,2.08878,1.28087,0.68596,0.49237,0.51853,0.20668,1.89406,1.60289,1.29543,0.000662921,0.000662921,0.000662921
2,120.907,2.01161,1.65881,1.26531,0.70025,0.49834,0.5486,0.21283,1.87702,1.59349,1.26331,0.00131643,0.00131643,0.00131643
3,178.538,1.97091,1.62531,1.28782,0.65855,0.46885,0.46258,0.16432,1.96115,1.71697,1.31674,0.00195673,0.00195673,0.00195673
4,233.581,1.9943,1.63613,1.30931,0.72576,0.50829,0.56186,0.23875,1.82626,1.65922,1.21753,0.0019406,0.0019406,0.0019406
5,292.383,1.92664,1.56115,1.24726,0.68675,0.54264,0.5613,0.23285,1.76367,1.50524,1.21136,0.0019208,0.0019208,0.0019208
6,349.139,1.89872,1.51547,1.23921,0.73951,0.52486,0.61117,0.26685,1.7327,1.5558,1.22088,0.001901,0.001901,0.001901
7,407.458,1.88835,1.47071,1.2234,0.71917,0.56243,0.61686,0.26117,1.75265,1.43178,1.20912,0.0018812,0.0018812,0.0018812
8,461.244,1.85488,1.4751,1.2201,0.7147,0.5558,0.58719,0.24774,1.78272,1.41076,1.22091,0.0018614,0.0018614,0.0018614
9,518.392,1.8605,1.44053,1.20519,0.73612,0.58258,0.62858,0.27637,1.75077,1.33125,1.18374,0.0018416,0.0018416,0.0018416
10,577.361,1.84024,1.43599,1.21417,0.74726,0.60221,0.66037,0.28685,1.74622,1.33404,1.1989,0.0018218,0.0018218,0.0018218
11,636.402,1.82287,1.38374,1.20729,0.75442,0.56685,0.64134,0.26827,1.71558,1.37051,1.1795,0.001802,0.001802,0.001802
12,690.877,1.78621,1.35955,1.16466,0.7709,0.58122,0.6612,0.29652,1.69628,1.32211,1.18445,0.0017822,0.0017822,0.0017822
13,748.677,1.75895,1.34715,1.15894,0.76427,0.58785,0.66225,0.30657,1.67072,1.3107,1.17283,0.0017624,0.0017624,0.0017624
14,807.975,1.75264,1.33069,1.1653,0.76754,0.59469,0.67006,0.30348,1.68655,1.26131,1.1683,0.0017426,0.0017426,0.0017426
15,864.699,1.75042,1.30731,1.15903,0.73983,0.619,0.67544,0.28564,1.69883,1.3158,1.1759,0.0017228,0.0017228,0.0017228
16,918.715,1.7366,1.30598,1.15302,0.78282,0.59345,0.69282,0.32816,1.61574,1.23871,1.13672,0.001703,0.001703,0.001703
17,976.112,1.70433,1.26538,1.13789,0.77495,0.60499,0.6865,0.32217,1.62828,1.21571,1.14523,0.0016832,0.0016832,0.0016832
18,1032.14,1.73367,1.28228,1.15016,0.76514,0.60478,0.68413,0.30236,1.64553,1.24409,1.14562,0.0016634,0.0016634,0.0016634
19,1086.78,1.71829,1.286,1.1499,0.74101,0.6,0.67685,0.31386,1.65804,1.2637,1.16121,0.0016436,0.0016436,0.0016436
20,1141.19,1.69523,1.25479,1.12609,0.76072,0.62762,0.70361,0.32998,1.60705,1.15076,1.12891,0.0016238,0.0016238,0.0016238
21,1198.79,1.71055,1.23877,1.13291,0.79839,0.61878,0.7044,0.32681,1.64139,1.19317,1.14713,0.001604,0.001604,0.001604
22,1255.07,1.66613,1.22818,1.12852,0.79721,0.63867,0.70878,0.34082,1.59014,1.1999,1.13736,0.0015842,0.0015842,0.0015842
23,1311.87,1.64779,1.17738,1.11142,0.83533,0.60536,0.71028,0.34395,1.63636,1.13079,1.14097,0.0015644,0.0015644,0.0015644
24,1368.61,1.65983,1.18381,1.11664,0.8239,0.61005,0.70584,0.34218,1.56693,1.20449,1.11968,0.0015446,0.0015446,0.0015446
25,1423.66,1.63472,1.17566,1.11167,0.79046,0.63646,0.70958,0.3491,1.60098,1.12028,1.13947,0.0015248,0.0015248,0.0015248
26,1480.85,1.63371,1.164,1.11677,0.81815,0.6264,0.71773,0.35958,1.55447,1.10946,1.12702,0.001505,0.001505,0.001505
27,1535.47,1.63265,1.15818,1.10958,0.8113,0.63978,0.73112,0.35635,1.60321,1.10084,1.12408,0.0014852,0.0014852,0.0014852
28,1590.52,1.63201,1.14159,1.1156,0.83641,0.63277,0.73099,0.35106,1.60424,1.08291,1.13034,0.0014654,0.0014654,0.0014654
29,1646.54,1.6018,1.11786,1.10965,0.82788,0.63778,0.74353,0.36526,1.6178,1.04557,1.13662,0.0014456,0.0014456,0.0014456
30,1701.77,1.599,1.10061,1.10389,0.77557,0.64199,0.72908,0.36751,1.53693,1.05909,1.09212,0.0014258,0.0014258,0.0014258
31,1757.84,1.60206,1.09373,1.08553,0.79409,0.64088,0.72472,0.36755,1.53754,1.05569,1.10783,0.001406,0.001406,0.001406
32,1814.71,1.57581,1.08543,1.09395,0.83506,0.61878,0.74277,0.37116,1.53184,1.04,1.09958,0.0013862,0.0013862,0.0013862
33,1871.56,1.57838,1.06764,1.08846,0.85433,0.61564,0.73945,0.37478,1.53827,1.00541,1.11624,0.0013664,0.0013664,0.0013664
34,1928.51,1.56692,1.0622,1.09478,0.82564,0.63833,0.76419,0.39996,1.47288,0.99462,1.08845,0.0013466,0.0013466,0.0013466
35,1984.16,1.58492,1.09124,1.0891,0.81893,0.65465,0.75353,0.38893,1.51157,1.02885,1.10113,0.0013268,0.0013268,0.0013268
36,2039.49,1.55513,1.05081,1.07586,0.84067,0.65967,0.75373,0.38269,1.53597,1.00337,1.10233,0.001307,0.001307,0.001307
37,2095.58,1.53039,1.01965,1.0752,0.83866,0.67735,0.76137,0.39764,1.52026,0.96522,1.09199,0.0012872,0.0012872,0.0012872
38,2150.22,1.55796,1.04521,1.07887,0.8514,0.67293,0.77697,0.40651,1.51006,0.97345,1.10055,0.0012674,0.0012674,0.0012674
39,2206.65,1.51405,0.99985,1.06828,0.83701,0.65824,0.76046,0.4058,1.48375,0.93909,1.08437,0.0012476,0.0012476,0.0012476
40,2262.19,1.50735,0.99602,1.06085,0.80512,0.6665,0.76257,0.40854,1.47103,0.95292,1.07896,0.0012278,0.0012278,0.0012278
41,2319.37,1.49268,0.97866,1.06111,0.85803,0.64751,0.76244,0.40599,1.49693,0.95602,1.08106,0.001208,0.001208,0.001208
42,2372.85,1.50786,0.96254,1.05727,0.82551,0.67293,0.77405,0.41224,1.46308,0.91826,1.07515,0.0011882,0.0011882,0.0011882
43,2429.45,1.51152,0.97963,1.0566,0.85035,0.68619,0.79109,0.42055,1.46084,0.90744,1.0723,0.0011684,0.0011684,0.0011684
44,2486.22,1.48865,0.95602,1.05817,0.86843,0.67831,0.78499,0.42062,1.44668,0.91682,1.06128,0.0011486,0.0011486,0.0011486
